File: before-bench.test
Type: cpu
Time: 2026-09-08 08:43:50 PDT
Duration: 2.63s, Total samples = 2.29s (86.92%)
Showing nodes accounting for 1.90s, 82.97% of 2.29s total
Dropped 102 nodes (cum <= 0.01s)
      flat  flat%   sum%        cum   cum%
         0     0% 82.97%      0.03s  1.31%  runtime.deductAssistCredit
         0     0% 82.97%      0.06s  2.62%  runtime.deductSweepCredit
         0     0% 82.97%      0.18s  7.86%  runtime.gcAssistAlloc
         0     0% 82.97%      0.18s  7.86%  runtime.gcAssistAlloc.func2
         0     0% 82.97%      0.18s  7.86%  runtime.gcAssistAlloc1
         0     0% 82.97%      0.17s  7.42%  runtime.gcDrainN
         0     0% 82.97%      0.21s  9.17%  runtime.gcMarkTermination.func3
         0     0% 82.97%      0.46s 20.09%  runtime.gcStart.func4
         0     0% 82.97%      0.04s  1.75%  runtime.mProf_Malloc
         0     0% 82.97%      0.19s  8.30%  runtime.makeslice
         0     0% 82.97%      0.03s  1.31%  runtime.mallocgcSmallScanNoHeaderSC5
         0     0% 82.97%      0.11s  4.80%  runtime.mallocgcSmallScanSlowPath
         0     0% 82.97%      0.03s  1.31%  runtime.mapaccess1_faststr
         0     0% 82.97%      0.02s  0.87%  runtime.markroot
         0     0% 82.97%      0.68s 29.69%  runtime.netpoll
         0     0% 82.97%      0.06s  2.62%  runtime.newobject
         0     0% 82.97%      0.04s  1.75%  runtime.profilealloc
         0     0% 82.97%      0.02s  0.87%  runtime.rawbyteslice
         0     0% 82.97%      0.03s  1.31%  runtime.rawstring (inline)
         0     0% 82.97%      0.03s  1.31%  runtime.rawstringtmp
         0     0% 82.97%      0.06s  2.62%  runtime.scanSpan
         0     0% 82.97%      0.68s 29.69%  runtime.startTheWorldWithSema
         0     0% 82.97%      0.03s  1.31%  runtime.stkbucket
         0     0% 82.97%      0.02s  0.87%  runtime.stringtoslicebyte
         0     0% 82.97%      0.06s  2.62%  runtime.sweepone
         0     0% 82.97%      0.05s  2.18%  runtime.sysUsed (inline)
         0     0% 82.97%      0.05s  2.18%  runtime.sysUsedOS (inline)
         0     0% 82.97%      0.99s 43.23%  runtime.systemstack
         0     0% 82.97%      0.04s  1.75%  runtime.wbBufFlush
         0     0% 82.97%      0.04s  1.75%  runtime.wbBufFlush.func1
         0     0% 82.97%      0.04s  1.75%  runtime.wbBufFlush1
         0     0% 82.97%      0.03s  1.31%  runtime.wbMove
         0     0% 82.97%      0.08s  3.49%  strings.(*Replacer).Replace
         0     0% 82.97%      0.08s  3.49%  strings.(*genericReplacer).Replace
         0     0% 82.97%      0.10s  4.37%  strings.ContainsAny (inline)
         0     0% 82.97%      0.02s  0.87%  strings.Index (inline)
         0     0% 82.97%      0.07s  3.06%  strings.IndexRune
         0     0% 82.97%      0.03s  1.31%  sync.(*Map).Load (inline)
         0     0% 82.97%      1.52s 66.38%  testing.(*B).run1.func1
         0     0% 82.97%      1.52s 66.38%  testing.(*B).runN
         0     0% 82.97%      0.03s  1.31%  time.Parse
         0     0% 82.97%      0.03s  1.31%  time.parseRFC3339[go.shape.string]
